编号,标准问题,答案,所属分类
56,检察官具备哪些条件应当给予奖励？,检察官有下列表现之一的，应当给予奖励：在检察工作中秉公执法，成绩显著的；提出检察建议或者对检察工作提出改革建议被采纳，效果显著的；保护国家、集体和人民利益，使其免受重大损失，事迹突出的；勇于同违法犯罪行为作斗争，事迹突出的；保护国家秘密和检察工作秘密，有显著成绩的；有其他功绩的。,检务公开
57,检察官有哪些行为应当给予惩戒？,检察官有下列行为的，应当给予惩戒：散布有损国家声誉的言论，参加非法组织，参加旨在反对国家的集会、游行、示威等活动，参加罢工；贪污受贿；徇私枉法；刑讯逼供；隐瞒证据或者伪造证据；泄露国家秘密或者检察工作秘密；滥用职权，侵犯自然人、法人或者其他组织的合法权益；玩忽职守，造成错案或者给当事人造成严重损失；拖延办案，贻误工作；利用职权为自己或者他人谋取私利；从事营利性的经营活动；私自会见当事人及其代理人，接受当事人及其代理人的请客送礼多其他违法乱纪的行为。,检务公开
58,检察官具有哪些情形应当予以辞退？,检察官有下列情形之一的，应当予以辞退：在年度考核中，连续两年确定为不称职的；不胜任现职工作，又不接受另行安排的；因检察机构调整或者缩减编制员额需要调整工作，本人拒绝合理安排的；旷工或者无正当理由逾假不归连续超过十五天，或者一年内累计超过三十天的，不履行检察官义务，经教育仍不改正的。,检务公开
59,检察人员的任职回避有哪些规定？,检察人员（指各级人民检察院检察官、书记员、司法行政人员和司法警察）之间有夫妻关系、直系血亲关系、三代以内旁系血亲关系以及近姻亲关系的，不得同时担任下列职务：同一人民检察院的检察长、副检察长、检察委员会委员，同一人民检察院的检察长、副检察长和检察员、助理检察员、书记员、司法警察、司法行政人员，同一工作部门的检察员、助理检察员、书记员、司法警察、司法行政人员，上下相邻两级人民检察院的检察长、副检察长。,检务公开
60,检察人员的公务回避有哪些要求？,检察人员从事检察活动，具有下列情形之一的，应当自行回避，当事人及其法定代理人也有权要求其回避：是本案的当事人或者是本案的当事人的近亲属的；本人或者其近亲属和本案有利害关系的；担任过本案的证人、鉴定人、辩护人、诉讼代理人的与本案当事人有其他关系，可能影响公正处理案件的。检察人员在检察活动中，接受当事人及其委托的人的请客送礼或者违反规定会见当事人及其委托的人的，当事人及其法定代理人有权要求其回避。检察人员离任后两年内，不得担任诉讼代理人和辩护人。,检务公开
61,中央政法委“四条禁令”的具体内容是什么？,中央政法委“四条禁令”的具体内容是：绝对禁止政法干警接受案件当事人请吃喝、送钱物，绝对禁止对告诉求助群众采取冷漠、生硬、蛮横、推诿等官老爷态度，绝对禁止政法干警打人、骂人、刑讯逼供等违法乱纪行为，绝对禁止政法干警参与经营娱乐场所或为非法经营活动提供保护。,检务公开
62,检察人员“八要八不准”的具体内容是什么？,"检察人员“八要八不准""的具体内容是：要热爱人民，不准骄横霸道；要服从指挥，不准各行其是；要忠于职守，不准滥用职权；要秉公执法，不准徇私舞弊；要调查取证，不准刑讯逼供；要廉洁奉公，不准贪赃枉法；要提高警惕，不准泄漏机密；要接受监督，不准文过饰非。",检务公开
63,"检察机关办案工作中必须严格执行哪“九条硬性规定""?检察机关办案工作中必须严格执行下列“九条硬性规定"":严禁超越管辖范围办案；严禁对证人采取任何强制措施；立案前不得对犯罪嫌疑人采取强制措施；严禁超期羁押；不得把检察院的讯问室当成羁押室；讯问一般应在看守所进行，必须在检察院进行讯问的，要严格执行还押制度；凡在办案中搞刑讯逼供的，先下岗，再处理；因玩忽职守、非法拘禁、违法办案等致人死亡的，除依法依纪追究直接责任人员外，对于领导失职渎职的一律给予撤职处分；严禁截留、挪用、私分扣押款物",,检务公开
64,"最高人民检察院“廉洁从检十项纪律""的具体内容是什么？","最高人民检察院“廉洁从检十项纪律""的具体内容是：不准泄露案情或为当事人打探案情；不准私自办理或干预案件；不准私自会见案件当事人及其委托人或者接受上述人员的宴请、礼物和提供的娱乐活动；不准利用工作之便占用外单位及其人员的交通、通信工具；不准参加用公款支付或可能影响公务的营业性歌厅、舞厅、夜总会等高消费场所的娱乐健身活动；不准接受下级人民检察院来京人员的宴请或提供的娱乐活动以及收受礼品；不准在工作日饮酒或者着检察制服（警服）在公共场所饮酒；不准对告诉求助群众采取冷漠、生硬、蛮横、推诿等官老爷态度；不准经商办企业或利用职务之便为亲属经商办企业谋取利益；不准擅自开设银行账户，私设“小金库”。",检务公开
65,检察机关办理案件必须严格执行哪“六条规定”？,检察机关办理案件必须严格执行下列“六条规定”：举报线索必须统一管理，个人不得私自处理，更不得瞒案不报、压案不查。立案必须严格执行法定的案件管辖、立案条件和程序；撤销案件，必须严格审批手续，不得违反规定立案、撤案。审查逮捕必须严格依法进行，对于有证据证明有犯罪事实、符合逮捕条件的，应当依法批准或者决定逮捕，坚决防止该捕不捕、打击不力；公安机关认为不批准逮捕的决定有错误要求复议的，必须更换承办人予以复议。变更、撤销逮捕措施，必须严格按照法律规定的条件和程序进行，不得随意、私自变更、撤销逮捕措施。审查起诉必须严格依法进行，不得对符合起诉条件的案件做出不起诉决定；公安机关认为不起诉的决定有错误要求复议的，必须更换承办人予以复议。办理申诉案件必须由两名以上办案人员依法进行，不得私自接待申诉人，不得私自处理申诉案件。,检务公开
66,"检察机关领导干部必须遵守的“六个严禁""是什么？",检察机关领导干部必须遵守的“六个严禁”是：严禁办理关系案、人情案、金钱案；严禁违反职责分工或规定程序干预办案；严禁买官卖官、跑官要官，违反规定任免干部；严禁插手工程招标投标、政府采购等经济活动，谋取私利；严禁接受可能影响公务的宴请、礼物或娱乐活动；严禁利用职权为亲属、子女或身边工作人员谋取利益。,检务公开
67,违反“严禁检察人员违规驾车四项规定”会受到哪些处分？,违反“严禁检察人员违规驾车四项规定”，根据不同情况分别给予以下相应的处分：．违反严禁酒后驾驶机动车规定的，予以辞退；造成交通事故并致人重伤、死亡或重大经济损失的，给予开除处分。.违反严禁无证驾驶机动车规定的，给予批评教育或警告以上处分；经教育或处分仍不改正的，予以辞退；造成交通事故并致人重伤、死亡或重大经济损失的，给予开除处分。.违反严禁交通肇事后逃逸规定的，一律给予开除处分。.违反严禁警车私用规定的，给予警告以上处分；造成交通事故并致人重伤、死亡或重大经济损失的，给予开除处分。,检务公开
68,最高人民检察院禁酒令的具体内容有哪些？,最高人民检察院禁酒令的具体内容主要有五个方面：严禁工作时间和工作日中午饮酒，违者给予批评教育；情节较重的给予纪律处分；造成恶劣影响的，予以辞退或者开除。严禁执法办案期间饮酒，违者给予纪律处分；造成严重后果的，予以辞退或者开除。严禁携带枪支、弹药、档案、案卷、案件材料、秘密文件或者其他涉密载体饮酒，违者视情节给予记过、记大过、降级、撤职处分；造成严重后果的，予以辞退或者开除。严禁佩戴检察标志和着法警制服在公共场所饮酒，违者给予批评教育；情节较重的给予纪律处分；造成恶劣影响的，予以辞退或者开除。严禁酒后驾驶机动车辆，违者予以辞退；造成严重后果的，予以开除。,检务公开
69,检察人员违反检察纪律的行为包括哪些方面？,检察人员违反检察纪律的行为包括十个方面：违反政治纪律的行为，违反组织、人事纪律的行为，违反办案纪律的行为，贪污贿赂行为，违反廉洁从检规定的行为，违反财经纪律的行为，失职、渎职行为，违反警械警具和车辆管理规定的行为，严重违反社会主义道德的行为，妨碍社会管理秩序的行为。,检务公开
70,检察人员纪律处分分为几种？,违反检察纪律的检察人员，根据其错误行为事实、性质和情节，依照《检察人员纪律处分条例（试行）》，给予纪律处分；情节显著轻微，经批评教育确已认识错误的，可以免予处分或者不予处分。检察人员纪律处分分为警告、记过、记大过、降级、撤职、开除等六种。,检务公开
71,检察官职业道德规范包括哪些具体内容？,检察官职业道德规范包括以下四个方面的具体内容：．忠诚。忠于党，忠于国家，忠于人民，忠于事实和法律，忠于人民检察事业，恪尽职守，乐于奉献。公正。崇尚法治，客观求实，依法独立行使检察权，坚持法律面前人人平等，自觉维护程序公正和实体公正。．清廉。模范遵守法纪，保持清正廉洁，淡泊名利，不徇私情，自尊自重，接受监督。.严明。严格执法，文明办案，刚正不阿，敢于监督，勇于纠错，捍卫宪法和法律尊严。第九部分举报须知和信访规定,检务公开
72,人民检察院文明接待十句文明用语是什么？,人民检察院文明接待十句文明用语是：您好，请进，请坐；欢迎您向检察机关反映问题，请讲；请不要着急，慢慢讲；对不起，没有听清楚，请您再重复一遍；您反映的问题，属于检察机关管辖的，检察机关会认真依法处理，处理结果会向您反馈；根据法律规定，您反映的问题不属于检察机关管辖，您递交的材料我们会转给有关部门处理，您也可以直接向有关部门反映；您反映的案件处理情况，我们已向您反馈，您还有什么意见；我们不接受礼物，请您收回；感谢您对我们工作的支持和理解；谢谢，没关系，这是我们应该做的。,检务公开
73,人民检察院文明接待十句工作忌语是什么？,人民检察院文明接待十句工作忌语是：你来干啥，谁让你来的；上次给你讲清楚了，怎么又来了；没看见正忙着，添什么乱；你反映的问题检察院不管，爱找谁找谁；乱七八糟的，回去想清楚再来；快点说，别哕嗦；我就这水平，不满意找领导去；我们就这样处理，有本事往上告去；别烦人，回去等着吧；少讲废话，快点走。,检务公开
74,检察机关的举报制度是怎样建立和发展起来的？,检察机关的举报制度始建于20世纪80年代，是适应打击严重经济犯罪需要而产生的。1988年3月8日，深圳市人民检察院成立不全国第一个经济罪案举报中心，得到最高人民检察院的充分肯定。此后，一些检察院相继成立经济罪案举报中心。1988年6月，中共中央发出了《关于党和国家机关必须保持廉洁的通知》，指出要建立并逐步健全人民检举制度，在各级监察机关和检察机关设立举报中心。同月，最高人民检察院发出通知，明确要求各级检察院设立经济罪案举报中心。随着各级检察院经济罪案举报中心的建立，在检察系统中形成了覆盖全国的举报网络。2008年3月，最高人民检察院在深圳召开了经济罪案举报中心成立20周年纪念大会，对进一步完善举报制度、方便人民群众举报、充分发挥举报中心的作用进行了深人研究,检务公开
75,公民举报职务犯罪可以采用哪些方式？,公民举报职务犯罪常用的方式有书信举报、电话举报、当面举报、预约举报、网络举报、短信举报等。公民个人可以根据具体情况确定采用合适的举报方式。为便于工作开展，提倡公民实名举报。,检务公开
76,人民检察院直接受理举报的范围有哪些？,人民检察院直接受理举报的范围有：贪污贿赂犯罪，国家机关工作人员的渎职犯罪，国家机关工作人员利用职权实施的非法拘禁、刑讯逼供、报复陷害、非法搜查、暴力取证、虐待被监管人、破坏选举等侵犯公民人身权利和民主权利的犯罪。,检务公开
77,举报人采用走访形式举报的，人民检察院应当如何受理？,举报人采用走访形式举报的，人民检察院应当指派两名以上工作人员在专门场所接待，也可以到举报人认为合适的地方接待。接待举报人时应当制作笔录，载明举报人的姓名、单位、住址和举报的具体内容，经宣读或者交举报人阅读无误后，由举报人和负责接待的工作人员签名或者盖章。需要录音录像的，事先应当征得举报人同意。对多人采用走访形式举报同一职务犯罪行为的，应当要求举报人推选代表，代表人数一般不超过五人。接待举报人的工作人员应当告知举报人要如实举报和捏造、歪曲事实应当承担的法律责任。,检务公开
78,人民检察院对实名举报答复的内容、方式有哪些要使用真实姓名或者单位名称举报的属于实名举报。人民检察院对实名举报除通讯地址不详以外，应将处理情况和办理结果及时答复举报人。对采用走访形式举报的，应当场答复是否受理；不能当场答复的，应当自接待举报人之日起十日内答复。答复的内容包括办理的过程、认定的实事和证据、处理结果和法律依据。答复可以采取口头、书面或者其他适当方式进行。口头答复的，应当制作答复笔录，载明答复的时间、地点、参加人、答复内容举报人对答复的意见等。书面答复的，应当制作答复函。邮寄答复函时不得使用有人民检察院字样的信封。,,检务公开
79,人民检察院保护举报人的措施主要有哪些？,人民检察院应当依法保护举报人及其近亲属的合法权益。人民检察院保护举报人的措施主要有以下四个方面：一是严禁泄露举报人的姓名、工作单位、家庭住址等个人信息，严禁将举报材料转给被举报人或者被举报单位。二是调查核实情况时，不得出示举报材料原件或者复印件，不得暴露举报人；对匿名信函除侦查工作需要外，不准鉴定三是宣传报道和奖励举报有功人员，除本人同意外，不得公开举报人的姓名、单位。四是对打击报复举报人的，如果属于国家机关工作人员滥用职权、假公济私，对举报人实行报复陷害构成犯罪的，应当依法立案侦查，追究责任人的刑事责任；如果打击报复举报人不构成犯罪的，应当移送主管部门处理。,检务公开
80,人民检察院对举报有功人员是否进行奖励？,举报线索经查证属实，被举报人构成犯罪的，应当给予举报人一定的精神奖励和物质奖励。人民检察院根据举报追回赃款的，应当在举报所涉事实追缴赃款的百分之十以内发放奖金，每案数额一般不超过十万元。举报人有重大贡献的，经省级人民检察院批准，可以在十万元以上给予奖励，数额不超过二十万元。有特别重大贡献的，经最高人民检察院批准，不受上述数额的限制。经查证属实构成犯罪但没有追回赃款的案件，可以酌情给予举报人五千元以下的奖励。对举报渎职侵权案件有功的举报人员，可以参照上述规定给予奖励。,检务公开
81,人民检察院铱法处理哪些信访事项？,人民检察院依法处理的信访事项主要有八类：一是反映国家工作人员职务犯罪的举报；二是不服人民检察院处理决定的申诉；三是反映公安机关侦查活动存在违法行为的控告；四是不服人民法院生效判决、裁定的申诉；五是反映刑事案件判决、裁定的执行以及监狱、看守所、劳动教养机关的活动存在违法行为的控告；六是反映人民检察院工作人员违法违纪行为的控告；七是加强、改进检察工作和队伍建设的建议和意见；八是其他依法应当由人民检察院处理的信访事项。,检务公开
82,人民检察院对信访事项的管辖是如何规定的？,人民检察院管辖信访事项的基本原则是属地管辖、分级负责，具体要求是三个方面：一是各级人民检察院受理应当由本院管辖的控告、举报和申诉以及信访人提出的意见和建议；是上级人民检察院受理信访人不服下级人民检察院对信访事项的处理意见出的复查请求；三是上级人民检察院认为有必要时，可以直接受理由下级人民检察院管辖的信访事项，也可以将本院管辖的信访事项在受理后交由下级人民检察院办理。,检务公开
83,人民检察院对检察长和业务部门负责人接待人民群众来访有哪些具体要求？,人民检察院实行检察长和业务部门负责人接待人民群众来访制度。接待时间和地点应当向社会公布。市、县级人民检察院检察长和业务部门负责人接待的时间，每年应当不少于十二次，每次不少于半天。省级以上人民检察院检察长和业务部门负责人每年应当根据情况不定期安排接待时间，或者深人基层组织开展联合接访活动。,检务公开
84,人民检察院办理信访事项的具体要求有哪些？,人民检察院办理信访事项应当听取信访人陈述事实和理由，必要时可以要求信访人、有关组织和人员说明情况，需要进一步核实情况的，可以向其他组织和人员调查了解。办理重大、复杂、疑难信访事项，应当由检察长组织专门力量调查处理。,检务公开
85,人民检察院办理信访事项中应当如何答复信访人？,人民检察院办理信访事项中应当区分情况依法作出处理，并答复信访人：事实清楚，符合法律政策规定的，应当支持；信访人提出的建议和意见，有利于改进工作的，应当研究论证并予以采纳；缺乏事实根据或者不符合法律政策规定的，不予支持，并向信访人做好解释疏导工作。,检务公开
86,人民检察院办理信访事项的期限有何要求？,人民检察院办理信访事项有严格的时限限制，具体要求是：承办部门应当在收到本院控告申诉检察部门转送的信访事项之日起六十日内办结；情况复杂，逾期不能办结的，报经分管检察长批准后，可适当延长办理期限，并通知控告申诉检察部门，延长期限不得超过三十日；法律、法规另有规定的，从其规定。,检务公开
87,人民检察院答复信访事项办理结果有哪些要求？,事事有结果，件件有答复，是人民检察院办理信访事项的基本要求。信访事项办理结果的答复由承办该信访事项的人民检察院控告申诉检察部门负责，除因通讯地址不详等情况无法答复以外，原则上应当书面答复信访人。重大、复杂、疑难信访事项的答复应当由承办部门和控告申诉检察部门共同负责，必要时可以举行公开听证。举报答复应当注意保密，依法保护举报人的合法权益。需要以邮寄方式书面答复署名举报人的，应当挂号邮寄并不得使用有人民检察院字样的信封。,检务公开
88,信访人对人民检察院处理意见不服的应该怎么办？,信访人对人民检察院处理意见不服的，可以依照有关规定提出复查请求。人民检察院收到复查请求后应当进行审查，符合立案复查规定的应当立案复查，不符合立案复查规定的应当书面答复信访人。,检务公开
89,人民检察院对信访人不依法信访的行为应当如何处理？,信访人信访应当遵守国家有关规定，不能以信访为名从事违法犯罪活动。人民检察院信访接待人员应当告知信访人依照国家有关规定到指定地点反映诉求，做到依法有序信访。对于信访人的下列行为，应当进行劝阻、批评或者教育；对于劝阻、批评或者教育无效的，应当移送公安机关依法处理：．在人民检察院办公场所周围非法聚集，围堵、冲击人民检察院，拦截公务车辆，堵塞、阻断交通，影响正常办公秩序的。．携带危险物品、管制器具的。.侮辱、殴打、威胁检察人员，或者非法限制检察人员人身自由的。.在信访接待场所滞留、滋事，故意破坏信访接待场所设施，或者将生活不能自理的人弃留在信访接待场所的。．煽动、串联、胁迫、以财物诱使、幕后操纵他人信访或者以信访为名借机敛财的,检务公开
90,上级人民检察院可以向下级人民检察院交办哪些重要信访事项？,上级人民检察院向下级人民检察院交办信访事项，是检察机关加大信访事项办理力度、解决信访人反映实际问题的一项重要措施。上级人民检察院控告申诉检察部门可以代表本院向下级人民检察院交办群众反映强烈、社会影响较大的重要信访事项；举报内容较翔实，案情重大，多次举报未查处的重要信访事项；不服人民检察院处理决定，多次申诉未得到依法处理的重要信访事项；检察长批办的重要信访事项。,检务公开
91,上级人民检察院交办的信访事项对办理期限有何要求？,对上级人民检察院交办的信访事项，下级人民检察院应当及时办理，一般应当在三个月内办结；情况复杂，确需延长办理期限的，需经检察长批准，延长期限不得超过三个月。延期办理的，应当向上级人民检察院报告进展情况，并说明理由。,检务公开
92,下级人民检察院在处理信访事项中，上级人民检察院控告申诉检察部门应当予以监督纠正哪些情形？,上级人民检察院控告申诉检察部门对下级人民检察院在处理信访事项中有下列情形之一的，应当及时予以监督纠正：应当受理而拒不受理的，未按规定程序办理的，未按规定的办理期限办结的，未按规定反馈办理结果的，不执行信访处理意见的，其他需要监督纠正的事项。,检务公开
93,河南省人民检察院2009年提出了哪些方便群众诉讼的措施？,"河南省人民检察院2009年提出了八项方便群众诉讼的措施：一是建立检察专线网视频接访系统，通过视频接访受理群众举报、控告、申诉；二是建立检察机关办理案件信息查询系统，方便诉讼参与人及有关人员查询案件进展情况；三是完善检察长接待日制度；四是开展“阳光检务”活动，增加检察工作的透明度和公信度；五是健全快速办理轻微刑事案件工作机制，加快办理速度，减少群众诉累；六是开展重点乡（镇）设立检察工作站试点工作，更好地发挥服务“三农""、服务人民群众的检察职能作用；七是继续推行对生活确有困难的刑事不诉案件被害人个案救助制度，最大限度地维护刑事不诉案件被害人的合法权益；八是建立实名举报投诉检察干警违法违纪案件的限期答复制度。",检务公开
94,"河南省人民检察院在处理涉检信访工作中提出要树立的“四种理念""是什么？","河南省人民检察院在处理涉检信访工作中提出要树立的“四种理念”是：一要在接访工作中树立“有理推定”理念，要求检察人员换位思考，带着对群众的深厚感情接待来访群众，把群众反映的问题当做自己的事情来办，想方设法为群众解决问题；二要在复查办案工作中树立“有错推定”观念，坚持有错必纠，对原处理决定并无不当但程序或工作方法、细节有瑕疵的案件，坚决予以整改，最大限度地维护群众的利益；三要在处理信访案件中树立“有解推定""理念，把涉检信访案件作为都是能够解决的案件来审查，努力做到“案结事了、息诉罢访、群众满意”；四要在办理刑事赔偿案件中树立“有偿推定”理念，把赔偿请求人提出的赔偿要求作为应该赔偿来审查，按照有关规定，对请求赔偿的违法侵权情形是否存在依法进行确认，切实维护当事人的合法权益。",检务公开
95,河南省人民检察院在处理涉检信访工作中探索和创新了哪些工作机制？,从实际出发，不断探索和创新处理涉检信访工作机制，是提高工作水平和工作效率以及确保工作效果的重要方法。河南省人民检察院在处理涉检信访工作中，在落实上级各项部署的同时，注重从实际出发探索和创新了七项工作机制：一是实行控告申诉工作首办责任制，二是推行书面答复制，三是实行涉检信访风险评估制，四是实行双向承诺制，五是实行领导包案制，六是推行刑事被害人救助制，七是实行过错责任追究制。第十部分人民检察院直接立案侦查案件的范围和立案标准,检务公开
96,人民检察院直接立案侦查的贪污贿赂犯罪案件有哪些？,人民检察院直接立案侦查的贪污贿赂犯罪案件共有十二个，分别是：贪污案，挪用公款案，受贿案，单位受贿案，行贿案对单位行贿案，介绍贿赂案，单位行贿案，巨额财产来源不明案，隐瞒境外存款案，私分国有资产案，私分罚没财物案。,检务公开
97,人民检察院直接立案侦查的国家机关工作人员渎职犯罪案件有哪些？,人民检察院直接立案侦查的国家机关工作人员渎职犯罪案件共有三十五个，分别是：滥用职权案，玩忽职守案，故意泄露国家秘密案，过失泄露国家秘密案，徇私枉法案，民事、行政枉法裁判案，执行判决、裁定失职案，执行判决、裁定滥用职权案，私放在押人员案，失职致使在押人员脱逃案，徇私舞弊减刑、假释、暂予监外执行案，徇私舞弊不移交刑事案件案，滥用管理公司、证券职权案，徇私舞弊不征、少征税款案，徇私舞弊发售发票、抵扣税款、出口退税案，违法提供出口退税凭证案，国家机关工作人员签订、履行合同失职被骗案，违法发放林木采伐许可证案，环境监管失职案，传染病防治失职案，非法批准征用、占用土地案，非法低价出让国有土地使用权案，放纵走私案，商检徇私舞弊案，商检失职案，动植物检疫徇私舞弊案，动植物检疫失职贮，放纵制售伪劣商品犯罪行为案，办理偷越国（边）境人员出人境证件案，放行偷越国（边）境人员案，不解救被拐卖、绑架妇女、儿童案，阻碍解救被拐卖、绑架妇女、儿童案，帮助犯罪分子逃避处罚案，招收公务员、学生徇私舞弊案，失职造成珍贵文物损毁、流失案。,检务公开
98,人民检察院直接立案侦查的国家机关工作人员利用职权实施的侵犯公民人身权利和民主权利犯罪案件有哪些？,人民检察院直接立案侦查的国家机关工作人员利用职权实施的侵犯公民人身权利和民主权利犯罪案件共有七个，分别是：非法拘禁案，非法搜查案，刑讯逼供案，暴力取证案，虐待被监管人案，报复陷害案，破坏选举案,检务公开
99,人民检察院对国家机关工作人员利用职权实施的其他重大犯罪案件有无管辖权？,这里所说的其他重大犯罪案件，是指国家机关工作人员实施的除贪污贿赂、渎职侵权犯罪案件以外的其他重大犯罪案件。国家机关工作人员利用职权实施的其他重大犯罪案件，需要由人民检察院直接受理、立案侦查的，需经省级以上人民检察院决定。,检务公开
100,贪污贿赂犯罪和渎职侵权犯罪的主体有何不同？,贪污贿赂犯罪的主体是国家工作人员，渎职侵权犯罪的主体是国家机关工作人员。国家工作人员，是指国家机关中从事公务的人员。国有公司、企业、事业单位、人民团体中从事公务的人员和国家机关、国有公司、企业、事业单位委派到非国有公司、企业、事业单位、社会团体从事公务的人员以及依照法律从事公务的人员，以国家工作人员论。国家机关工作人员，主要是指在国家机关中从事公务的人员，包括各级国家权力机关、行政机关、司法机关和军事机关中从事公务的人员。在依照法律、法规规定行使国家行政管理职权的组织中从事公务的人员，或者在受国家机关委托代表国家机关行使职权的组织中从事公务的人员，或者虽未列人国家机关人员编制但在国家机关中从事公务的人员，在代表国家机关行使职权时，视为国家机关工作人员。在乡（镇）以上中国共产党机关、人民政协机关中从事公务的人员，司法实践中也应当视为国家机关工作人员。,检务公开
101,贪污案立案标准是如何规定的？,贪污案立案标准有两项，分别是：．个人贪污数额在5000元以上的情形；．个人贪污数额不满5000元，但情节较重的情形。,检务公开
102,挪用公款案立案标准是如何规定的？,挪用公款案立案标准有三项，分别是：．挪用公款归个人使用，数额在1万元以上，超过3个月未还的情形；．挪用公款数额在1万元以上，归个人进行营利活动的情形；．挪用公款归个人使用，数额在5000元以上，进行非法活动的情形。,检务公开
103,受贿案立案标准是如何规定的？,受贿案立案标准有两项，分别是：．个人受贿数额在5000元以上的情形；．个人受贿数额不满5000元，但情节较严重的情形。,检务公开
104,单位受贿案立案标准是如何规定的？,单位受贿案立案标准有两项，分别是：1.单位受贿数额在10万元以上的情形；2.单位受贿数额不满10万元，但具有其他严重情节的情形。,检务公开
105,行贿案立案标准是如何规定的？,行贿案立案标准有两项，分别是：．行贿数额在1万元以上的情形；@行贿数额不满1万元，但具有其他严重情节的情形。,检务公开
106,对单位行贿案立案标准是如何规定的？,对单位行贿案立案标准有两项，分别是：．个人行贿数额在10万元以上，单位行贿数额在20万元以上的情形；．个人行贿数额不满10万元、单位行贿不满20万元，但具有其他严重情节的情形。,检务公开
107,介绍贿赂案立案标准是如何规定的？,介绍贿赂案立案标准有三项，分别是：．介绍个人向国家工作人员行贿，数额在1万元以上的情形；．介绍单位向国家工作人员行贿，数额在10万元以上的情形；．介绍贿赂数额虽然不足上述标准，但具有其他严重情节的情形。,检务公开
108,单位行贿案立案标准是如何规定的？,单位行贿案立案标准有两项，分别是：．单位行贿数额在10万元以上的情形；.单位行贿数额不满10万元，但具有其他严重情节的情形。,检务公开
109,巨额财产来源不明案立案标准是如何规定的？,巨额财产来源不明案立案标准是：巨额财产来源不明数额在30万元以上的情形。,检务公开
110,隐瞒境外存款案立案标准是如何规定的？,隐瞒境外存款案立案标准是：隐瞒境外存款折合人民币数额在30万兀以上的情形。,检务公开
111,私分国有资产案立案标准是如何规定的？,私分国有资产案立案标准是：私分国有资产累计数额在10万元以上的情形。,检务公开
112,私分罚没财物案立案标准是如何规定的？,私分罚没财物案立案标准是：私分罚没财物累计数额在10万元以上的情形。,检务公开
113,滥用职权案立案标准是如何规定的？,滥用职权案立案标准有九项，分别是：1.造成死亡1人以上，或者重伤2人以上，或者重伤1人、轻伤3人以上，或者轻伤5人以上的情形；2.导致10人以上严重中毒的情形；3．造成个人财产直接经济损失10万元以上，或者直接经济损失不满10万元，但间接经济损失50万元以上的情形；.4造成公共财产或者法人、其他组织财产直接经济损失20万元以上，或者直接经济损失不满20万元，但间接经济损失100万元以上的情形；5．虽未达到34两项数额标准，但两项合计直接经济损失20万元以上，或者合计直接经济损失不满20万元，但合计间接经济损失100万元以上的情形；6.造成公司、企业等单位停业、停产6个月以上，或者破产的情形；7.弄虚作假，不报、缓报、谎报或者授意、指使、强令他人不报、缓报、谎报情况，导致重特大事故危害结果继续、扩大，或者致使抢救、调查、处理工作延误的情形；8.严重损害国家声誉，或者造成恶劣社会影响的情形；9.其他致使公共财产、国家和人民利益遭受重大损失的情形。,检务公开
114,玩忽职守案立案标准是如何规定的？,玩忽职守案立案标准有九项，分别是：1．造成死亡1人以上，或者重伤3人以上，或者重伤2人、轻伤4人以上，或者重伤1人、轻伤7人以上，或者轻伤10人以上的情形·2．导致20人以上严重中毒的情形；3．造成个人财产直接经济损失15万元以上，或者直接经济损失不满15万元，但间接经济损失75万元以上的情形；4.造成公共财产或者法人、其他组织财产直接经济损失30万元以上，或者直接经济损失不满30万元，但间接经济损失150万元以上的情形；5．虽未达到34两项数额标准，但34两项合计直接经济损失30万元以上，或者合计直接经济损失不满30万元，但合计间接经济损失150万元以上的情形6.造成公司、企业等单位停业、停产1年以上，或者破产的情形；7．海关、外汇管理部门的工作人员严重不负责任，造成100万美元以上外汇被骗购或者逃汇1000万美元以上的情形；8.严重损害国家声誉，或者造成恶劣社会影响的情形；9.其他致使公共财产、国家和人民利益遭受重大损失的情形。,检务公开
115,故意泄露国家秘密案立案标准是如何规定的？,故意泄露国家秘密案立案标准有八项，分别是：．泄露绝密级国家秘密1项（件）以上的情形；．泄露机密级国家秘密2项（件）以上的情形；．泄露秘密级国家秘密3项（件）以上的情形；.向非境外机构、组织、人员泄露国家秘密，造成或者可能造成危害社会稳定、经济发展、国防安全或者其他严重危害后果的情形；.通过口头、书面或者网络等方式向公众散布、传播国家秘密的情形；.利用职权指使或者强迫他人违反国家保守秘密法的规定泄露国家秘密的情形；．以谋取私利为目的泄露国家秘密的情形；.其他情节严重的情形。,检务公开
116,过失泄露国家秘密案立案标准是如何规定的？,过失泄露国家秘密案立案标准有六项，分别是：．泄露绝密级国家秘密1项（件）以上的情形；.泄露机密级国家秘密3项（件）以上的情形；.泄露秘密级国家秘密4项（件）以上的情形；.违反保密规定，将涉及国家秘密的计算机或者计算机信息系统与互联网相连接，泄露国家秘密的情形；．泄露国家秘密或者遗失国家秘密载体，隐瞒不报、不如实提供有关情况或者不采取补救措施的情形；.其他情节严重的情形。,检务公开
